#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 03 02 50 999 99.0 99.0  1.42 17.39  5.45 318 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 03 50 999 99.0 99.0  1.43 16.00  5.40 330 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 04 50 999 99.0 99.0  1.48 16.00  5.54 296 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 05 50 999 99.0 99.0  1.49 16.00  5.70 295 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 06 50 999 99.0 99.0  1.54  6.67  5.59 155 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 07 50 999 99.0 99.0  1.49 17.39  5.48 304 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 08 50 999 99.0 99.0  1.46  6.25  5.43 149 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 09 50 999 99.0 99.0  1.59  5.26  5.21 126 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 10 50 999 99.0 99.0  1.78  6.25  5.35 146 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 11 50 999 99.0 99.0  1.86  6.25  5.51 147 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 12 50 999 99.0 99.0  1.90  5.88  5.49 136 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 13 50 999 99.0 99.0  1.83  6.67  5.37 150 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 14 50 999 99.0 99.0  1.82 17.39  5.60 158 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 15 50 999 99.0 99.0  1.70  6.67  5.42 152 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 16 50 999 99.0 99.0  1.71  7.14  5.58 161 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 17 50 999 99.0 99.0  1.67 19.05  5.59 191 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 18 50 999 99.0 99.0  1.87 19.05  5.93 200 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 19 50 999 99.0 99.0  1.91 17.39  5.85 255 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 20 50 999 99.0 99.0  2.05 17.39  6.11 219 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 21 50 999 99.0 99.0  2.13 17.39  6.10 201 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 22 50 999 99.0 99.0  2.08 17.39  5.88 229 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 03 23 50 999 99.0 99.0  2.01  6.67  5.96 136 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 00 50 999 99.0 99.0  2.14 17.39  6.08 260 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 01 50 999 99.0 99.0  2.18 17.39  6.06 218 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 02 50 999 99.0 99.0  2.07 17.39  5.91 216 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 03 50 999 99.0 99.0  2.14 17.39  5.91 251 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 04 50 999 99.0 99.0  2.11 17.39  5.87 212 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 05 50 999 99.0 99.0  2.00 17.39  6.00 254 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 06 50 999 99.0 99.0  2.17 17.39  6.01 224 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 07 50 999 99.0 99.0  2.13 16.00  5.82 223 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 08 50 999 99.0 99.0  2.05  7.69  5.88 150 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 09 50 999 99.0 99.0  2.09  7.69  5.92 150 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 10 50 999 99.0 99.0  2.34  5.88  6.14 131 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 11 50 999 99.0 99.0  2.39 17.39  6.33 243 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 12 50 999 99.0 99.0  2.38 17.39  6.52 241 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 13 50 999 99.0 99.0  2.48 16.00  6.58 247 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 14 50 999 99.0 99.0  2.51 16.00  6.68 223 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 15 50 999 99.0 99.0  2.38  9.09  6.38 155 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 16 50 999 99.0 99.0  2.39 16.00  6.65 236 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 17 50 999 99.0 99.0  2.42 16.00  6.58 229 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 18 50 999 99.0 99.0  2.33  8.33  6.51 146 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 19 50 999 99.0 99.0  2.38 16.00  6.53 220 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 20 50 999 99.0 99.0  2.31  8.33  6.35 155 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 21 50 999 99.0 99.0  2.64 16.00  6.75 233 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 22 50 999 99.0 99.0  2.21  8.33  6.43 164 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 04 23 50 999 99.0 99.0  2.53  7.69  6.56 146 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 00 50 999 99.0 99.0  2.38  7.69  6.40 149 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 01 50 999 99.0 99.0  2.50  7.69  6.28 151 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 02 50 999 99.0 99.0  2.49  8.33  6.33 157 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 03 50 999 99.0 99.0  2.43  9.09  6.48 163 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 04 50 999 99.0 99.0  2.46  8.33  6.53 160 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 05 50 999 99.0 99.0  2.45  8.33  6.68 156 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 06 50 999 99.0 99.0  2.38  8.33  6.77 165 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 07 50 999 99.0 99.0  2.48 10.00  6.97 184 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 08 50 999 99.0 99.0  2.52  8.33  6.79 153 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 09 50 999 99.0 99.0  2.48  9.09  6.85 144 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 10 50 999 99.0 99.0  2.44  9.09  6.53 160 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 11 50 999 99.0 99.0  2.52  9.09  6.71 156 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 12 50 999 99.0 99.0  2.55 10.00  6.92 158 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 13 50 999 99.0 99.0  2.57 10.00  6.88 172 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 14 50 999 99.0 99.0  2.55  9.09  6.66 156 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 15 50 999 99.0 99.0  2.40 10.00  6.77 178 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 16 50 999 99.0 99.0  2.39  8.33  6.79 161 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 17 50 999 99.0 99.0  2.47 10.00  6.71 185 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 18 50 999 99.0 99.0  2.47 10.00  7.06 184 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 19 50 999 99.0 99.0  2.38  9.09  6.75 165 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 20 50 999 99.0 99.0  2.38  9.09  6.80 162 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 21 50 999 99.0 99.0  2.70  9.09  6.99 154 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 22 50 999 99.0 99.0  2.52  9.09  6.94 158 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 05 23 50 999 99.0 99.0  2.52  9.09  6.79 175 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 00 50 999 99.0 99.0  2.56 10.00  6.84 158 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 01 50 999 99.0 99.0  2.51  9.09  6.63 164 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 02 50 999 99.0 99.0  2.49 10.00  6.83 149 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 03 50 999 99.0 99.0  2.59  9.09  6.80 159 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 04 50 999 99.0 99.0  2.31  9.09  6.58 160 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 05 50 999 99.0 99.0  2.38 10.00  6.94 162 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 06 50 999 99.0 99.0  2.35  9.09  6.62 143 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 07 50 999 99.0 99.0  2.46 10.00  6.92 168 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 08 50 999 99.0 99.0  2.36  9.09  6.77 149 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 09 50 999 99.0 99.0  2.33 10.00  6.82 177 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 10 50 999 99.0 99.0  2.18 10.00  6.67 159 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 11 50 999 99.0 99.0  2.30 10.00  6.63 160 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 12 50 999 99.0 99.0  2.34 10.00  6.74 158 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 13 50 999 99.0 99.0  2.42  9.09  6.90 156 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 14 50 999 99.0 99.0  2.34 10.00  6.62 174 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 15 50 999 99.0 99.0  2.54 10.00  6.96 166 9999.0 999.0 999.0 999.0 99.0 99.00
